num,pairs,text
2,"('entró', '')",Desde entonces entró en silencio absoluto.
4,"('ministro', 'suelen')","Por su boca suelen hablar de vez en cuando tanto el ministro de Relaciones Exteriores, José Vicente Rangel, verdadero ""portavoz"" del Gobierno, como el presidente de la Comisión Legislativa Nacional (CLN), o Congresillo, Luis Miquilena, que es quien aparentemente tiene todos los resortes en el nuevo escenario electoral."
5,"('sabe', '')","Por la Cancillería se sabe que la gira presidencial prevista entre el 16 y el 25 de junio por varios países de la Organización de Países Exportadores de Petróleo (OPEP), con el fin de afinar detalles de cara a la II Cumbre de ese cartel petrolero en Caracas, está en el alero hasta que se fijen los comicios."
13,"('Hurtado', 'declaró')","""El pueblo puede estar seguro de que aquí no existe nada de conspiración, ni está preso nadie por esos motivos tampoco"", declaró Hurtado en una rueda de prensa."
14,"('Añadió', '')","Añadió que desconoce la procedencia de los rumores, que estarían motivados por una supuesta división en la milicia entre los partidarios de Chávez y los seguidores del aspirante presidencial y también militar retirado, Francisco Arias Cárdenas, quien sí se ha explayado al dar sus opiniones sobre la ""payasada"" del aplazamiento electoral"
18,"('es', '')","Y es que los coroneles rebeldes gozan de una amplia simpatía entre la población, pues, según las encuestas, la mayoría considera positivo el que hayan apoyado a los movimientos sociales que exigían la salida de Mahuad, acusado de haber ahondado la crisis económica que afecta al país."
24,"('dirigente', 'indicó')","""Vamos a estar vigilantes de que se cumpla la Constitución y que la amnistía sea total, es que luego no se tomen retaliaciones o venganzas contra los militares a pretexto de una sanción disciplinaria"", indicó el dirigente."
25,"('Agregó', '')","Agregó que si los mandos militares no acatan a plenitud la amnistía, ""que es una posición de la mayoría de la población"", e imponen sanciones disciplinarias que podrían llegar hasta la separación de los rebeldes de las filas castrenses, los grupos sociales retomarán las movilizaciones y se podría llegar ""a una convulsión mayor""."
27,"('Pons', 'afirmó')","La aprobación de la amnistía ""es una muestra de responsabilidad cívica del Congreso ecuatoriano"" , con el fin de"" olvidarnos de los hechos pasados para construir una nueva historia "", afirmó Pons"
28,"('vi', '')","Hace un par de días, en una nica acera vi cinco contenedores juntos: un contenedor metálico verde (para reciclar vidrio); un contenedor metálico amarillo (para reciclar papeles: ¡pero no cartones!, aclaraba); otro contenedor verde (pero de plástico: para la basura normal); otro contenedor amarillo (más pequeño, acoplado al del papel, para reciclar pilas normales); y otro más pequeño aún (colocado sobre el anterior para las pilas botón)."
33,"('eso', 'acabó')","Y, en la mesa, se acabó eso de usar los palillos una sola vez y tirarlos."
34,"('Hay', '')","Hay que recogerlos una vez usados, fregar los restos de comida que hayan quedado adheridos y ponerlos a secar."
37,"('conseguiremos', '')","Convenientemente ensartados en un hilo de nylon, y alternados con los huesos de las aceitunas del aperitivo (que habremos guardado, evidentemente: ¡aquí no se tira nada!) conseguiremos un bonito collar recycled ecological para regalar por ejemplo a la asistenta."
40,"('quemamos', '')",Y nos quemamos.
41,"('pensar', '')",Hemos debido pensarlo.
42,"('Resultaban', '')",Resultaban demasiado baratos para ser buenos.
43,"('descubrimos', '')","Por eso, cuando destapamos la caja hace algunos días, descubrimos que los tres reyes eran blancos y que, en vez de un Niño Jesús, había dos."
49,"('una', 'explicó')",- Ya sé qué ocurre - explicó una de mis hijas -.
61,"('algo', 'ocurriendo')","Claro que cuando Felipe González (que a lo que parece no ha perdido del todo el carisma aquel que tuvo) lanza piropos a Aznar, y le seduce con cenas y discursos y lo califica de clara alternativa (acaso también en el clásico sentido de claro / ilustre) está ocurriendo algo desolador y terrible, igual que si, llegado al Gobierno, José María Aznar se volcase en mieles dialécticas con González."
62,"('conceden', '')","Pero en el Madrid ya sucedió la temporada pasada no le conceden demasiada importancia a esos detalles: quien va primero en solitario no necesita - basket average -, piensan."
63,"('Chechu', 'reconocía')","- Quizá lo lamentemos más tarde -, reconocía Chechu Biriukov..."
65,"('denegando', '')","En defensa, denegando el balón a los hombres altos del Madrid, cosa que tres días antes no había conseguido nunca, y eso que los blancos encestaban poco desde lejos y debería haber sido posible - flotar - con más eficacia sobre la pareja Sabonis-Arlauckas."
69,"('es', '')","Lo que sucede es que las múltiples adaptaciones que tenía que hacer Aíto tenían más miga que el retoque defensivo madridista (que, por otra parte, funcionó bien)."
71,"('Aíto', 'intentó')","- Por qué no la intentó Aíto en Madrid, donde no estaba Kurtinaitis y ningún blanco tiraba, y sí en Barcelona?"
72,"('sabremos', '')","Nunca sabremos la respuesta, pero sí que ahí se acabó el partido de ayer."
74,"('Hay', '')",Hay cosas que este Barcelona no podrá quizá nunca resolver contra un Madrid en buena forma.
79,"('rumor', 'comenzaba')",Por el país comenzaba a correr el rumor de tus nombres y las ganas de verte.
80,"('quedaba', '')",Cuando alguien se asomaba se quedaba enganchado.
85,"('Fuiste', '')","Fuiste a Barcelona, viniste a Madrid, viajaste por ahí y en todos los lugares nos cuidaste el paladar."
87,"('pudiste', '')","No pudiste, pero nos dio igual."
88,"('saltaste', '')","Luego saltaste a otra Europa, dejaste un manojo de estilo y regresaste con lo más bonito del sueño."
95,"('trató', '')","No se trató, por añadidura, de un contraataque eléctrico por elegante o irresistible por brutal, resuelto en tres pases de escueta y relampagueante verticalidad."
99,"('optó', '')","Incluso optó, en la fase intermedia de la jugada, por entretenerse en la banda derecha y cargarse, en su deambular inteligente y gentil, de tanta paciencia como veneno."
100,"('Progresó', '')","Progresó, pasó de una bota a otra anunciando con susurros sus intenciones y llegó hasta las de Caminero."
104,"('sido', '')","Ha sido y - hoy lo sabemos - sigue siendo, por fortuna, uno de los hombres cruciales para el porvenir del Real Madrid."
106,"('dar', '')",Para poder darle la bienvenida como se merece cuando regrese al timón.
107,"('Esperemos', '')",Esperemos que muy pronto.
111,"('hacer', '')",Pero sin hacer peligrar la integridad física de los ciclistas ni interferirse en guerras ajenas que nada pueden solucionar.
118,"('Amenaza', '')","Amenaza con ganarlo todo: la general, la montaña, la clasificación por puntos..."
125,"('encontrar', '')","Muy entero debe de encontrarse para verter sobre el asfalto unas energías a las que deberá apelar en los momentos importantes que aún quedan por desvelar sus rudos secretos (Valdezcaray, Covadonga, Avila y Segovia)."
127,"('conjeturas', 'lanzado')","De hecho, se han lanzado numerosas conjeturas sin demostración científica alguna, ya que la falta de recubrimiento en los anfibios (lo cual, por otra parte, les hace muy resbaladizos para sus depredadores, faceta de gran utilidad para su supervivencia), y las pieles cubiertas de pelo, lana o cerdas de los mamíferos, muy especializadas y perfeccionadas y sin claros precursores en la carrera evolutiva, hacen la comparación más problemática."
128,"('es', '')","Sea como fuere, lo que está claro es que la piel supone para los animales el principal medio para aislarse del exterior."
133,"('sirva', '')","Como ejemplo sirva la de la mismísima cebra, de conocido y curioso diseño a base de rayas blancas y negras."
136,"('animales', 'alcanzan')","El no va más lo alcanzan aquellos animales que cambian de color al momento o incluso mudan sus pieles o plumas para adecuarse a los tonos cromáticos del entorno, tal como hacen la liebre variable y la perdiz nival, pardas en verano y totalmente blancas en invierno."
141,"('parece', '')","Al igual que en las parejas humanas, parece ser que a las aves que han logrado una relación armoniosa gracias a la experiencia les va mejor en la crianza que a los recién casados."
142,"('hay', '')",Pero hay un inconveniente que repercute en la generosidad del macho.
145,"('escoja', '')","Tal vez escoja permanecer disponible para su compañero, en el caso de que se destruya la primera puesta y él pida otra que la sustituya."
146,"('elegir', '')",Pero también podría elegir buscar otro macho que esté inmediatamente dispuesto para la segunda nidada.
148,"('problema', 'dice')","Se dice que un problema de celos provocados por la actitud excesivamente galante hacia su mujer del barón Georges d'Anthes, un realista francés asiduo de los salones de sociedad."
150,"('complacencia', 'reinaba')","Aunque el zar Nicolás I intentó resarcir a su viuda con una renta anual de 11.000 rublos y la edición de sus obras completas, entre la rancia nobleza reinaba la complacencia: habían callado para siempre a un poeta - non grato -."
159,"('trata', '')","Se trata del Gravitational Red Shift Rocket Experiment, dirigido por dos científicos, Robert Vessot y Martin Lavine, del Observatorio Astrofísico Smithsonian, perteneciente a la Universidad de Harvard."
167,"('Rambarum', 'dice')","Verulam será siempre recordada como la primera localidad sudafricana donde se instaló un campo de refugiados -, dice Rambarum."
171,"('murió', '')",- No murió en el acto.
172,"('tía', 'explica')","Lo remataron -, explica su tía Cristia."
176,"('tía', 'dice')","- Está un poco afectado por todo lo sucedido -, dice con tono exculpatorio su tía."
178,"('cupón', 'entrega')",A cada residente del campo se le entrega un cupón.
179,"('Da', '')",Da derecho a un plato de judías y a un zumo de naranja.
182,"('saco', 'encuentra')",En muchas tan sólo se encuentra un saco con ropa.
184,"('dicen', '')","- No sabíamos si íbamos a poder conseguir algo -, dicen."
188,"('pregunta', '')","¿Por qué? -, se pregunta."
191,"('cinco', 'Son')",Son las cinco de la mañana.
193,"('hierba', 'crecía')","Aquí, en el Sur Bronx, no crecía más que la mala hierba."
194,"('José', 'llegó')",Hasta que un buen día llegó José Soto y plantó unos cilandrillos.
195,"('levantó', '')",Y después levantó cuatro paredes de madera y le puso un - silin - (techo) al chiringuito.
196,"('dio', '')",Y luego dio una fiesta e invitó a sus amigos.
197,"('cantaron', '')","Y cantaron la - plena -, bailaron la - bomba -, comieron - mondongo - y jugaron al dominó, como si en vez de Nueva York estuvieran en su añorado San Juan."
198,"('Rincón', 'nació')","Así nació el Rincón Criollo, la - casita - con más solera en el barrio con más miseria, el símbolo de la cultura boricua en una ciudad sin raíces que nunca entendió la nostalgia natural del portorriqueño."
202,"('trata', '')",Se trata ahora de luchar contra el recorte del dinero del PER y la reducción del salario de los trabajadores contratados.
204,"('Intentan', '')","Intentan rebajar un 30 por ciento los fondos que mandan para el PER y además, el Gobierno ha reducido a 60.000 pesetas el dinero por trabajador que manda a los Ayuntamientos."
205,"('desbroza', '')","Hasta el salario de convenio, dice que lo ponga el municipio y eso no puede ser -, desbroza pausa a pausa."
209,"('minusválido', 'matizaba')","Pero el PER, que se enteren, pónlo, es inversión pública que nosotros convertimos en vivienda, en cooperativas -, matizaba un minusválido puestísimo en el tema."
211,"('martilleaba', '')","Lo que no es necesario es el tráfico de las peonás y la indignidad del subsidio -, martilleaba."
214,"('sabe', '')",Hasta que no se acaba no se sabe dónde puede llegar.
217,"('conseguido', '')",- ¿Qué han conseguido?
221,"('saldaron', '')","La partida la saldaron pagando un décimo de lotería y las copas de la peña, pero el ex gobernador notó que el origen del cabreo de Corcuera era otro: - Le noté preocupado con la situación que se vive y cabreado."
223,"('dijo', '')","'- Cómo no nos habremos dado cuenta?', me dijo -."
226,"('puesto', 'queda')",A Corcuera sólo le queda su puesto como miembro del comité federal del PSOE.
228,"('habido', '')","En esa retirada ha habido algunas decepciones personales, pero también cartas inesperadas, como la que le envió Ramón Jáuregui, secretario general del PSE-PSOE, quien ya le ha hecho nuevas ofertas y que, - por supuesto -, en las próximas elecciones generales le ve como candidato por Vizcaya."
229,"('escrito', '')",- Le he escrito - dice Jauregui porque es una forma que utilizo cuando me quiero poner íntimo.
230,"('decía', '')",Le decía que deseo que se reincorpore pronto a la vida política.
231,"('pedía', '')",Y al final le pedía que colabore conmigo en la campaña electoral vasca -.
233,"('Dejaba', '')",Dejaba cinco años de gestión espléndida y se llevaba la sensación de que había superado pruebas para las que pensó que no estaba preparado por sus orígenes.
234,"('todo', 'caído')",Pero en pocos días se ha caído todo.
239,"('Sigue', '')","Sigue con su capa de esclavina desorientado porque ya no existen las brisas de la hidalguía, que la justificaban."
242,"('Supongo', '')",Supongo que desde él nos desprecian o nos compadecen.
243,"('afirma', '')",El que nos niega nos afirma condicionalmente.
253,"('infortunado', 'imaginaba')","Poco imaginaba el infortunado que en el descansillo le esperaba la asesina, Isabel López, de 46 años, más conocida con el alias de - La Bella -, cantante de boleros en un club nocturno cercano al barrio chino, actualmente detenida por la eficaz acción de los inspectores de Policía del Grupo de Homicidios."
254,"('sabemos', '')","Poco sabemos de los primeros momentos: parece que la mujer y la víctima se conocían, porque la asesina entró en la casa sin encontrar resistencia."
256,"('Permanecía', '')","Permanecía de pie en mitad de la cocina, como una pasmada, sin resuello."
259,"('solía', '')",De pequeña solía jugar a esto con su hermano.
261,"('encerraban', '')","Se encerraban en el establo y abrían el portón sólo una chispa, lo justo para que pasara algo de sol."
264,"('Antonio', 'gritaba')","- - Pero mira que eres burra, Toña, no es que seas más pequeña que yo, es que eres burra - - gritaba Antonio."
269,"('apartó', '')","Los apartó bruscamente del mueble y los extendió ante sí, concentrando todas sus fuerzas en la absurda tarea de estirar su brazo izquierdo, hasta que sus músculos comenzaron a temblar sin haber llegado a rectificar en nada el incomprensible vicio que cunaba el codo hacia dentro."
270,"('Caminó', '')","Caminó unos pasos con los brazos extendidos y cerró los ojos, como un ciego sagaz en su vigilia de falso sonámbulo."
271,"('tuvo', '')","Cuando levantó los párpados nuevamente, tuvo la certeza de que sus brazos ya no eran paralelos."
273,"('Permaneció', '')","Permaneció así mucho tiempo, dejándose aniquilar plácidamente por el inesperado preludio de su propia decrepitud, negándose ya a encontrar cualquier explicación amable a lo que no era otra cosa que reúma, o artrosis, el simple cansancio de unos huesos que enfilaban la recta de la vejez, el único destino cierto."
274,"('Acababa', '')",Acababa de cumplir cuarenta y un años.
275,"('tostadas', 'quemaron')","Se le quemaron las tostadas y pensó en Auri, que estaría todavía en la cama, feliz ante la perspectiva de echar raíces entre las sábanas mientras le imaginaba en Salamanca, batallando con alguna oscura contrata."
277,"('padre', 'susurrado')","Desde luego, vale mucho más que tú, le había susurrado al oído su padre cuando la conoció, dándole un par de palmadas en la espalda."
278,"('desarrollado', '')","Y había desarrollado una intuición de naturaleza casi sobrenatural con respecto al punto exacto del pan tostado, siempre perfecto."
279,"('echaba', '')",No la echaba de menos.
282,"('descolgó', '')","La descolgó inmediatamente de la pared y la guardó en el fondo de un cajón, de donde extrajo a su vez un viejo rollo de papel, dos pendientes de bisutería barata y cuatro chinchetas."
285,"('mensaje', 'leer')","Debajo se podía leer un turbio mensaje, faltan 923 días para terminar esta obra."
286,"('sentido', '')","En aquel momento se había sentido culpable de la previsible destrucción del prodigio, pero ahora, cuando la amargura de aquel descubrimiento se había diluido poco a poco en el transcurso del tiempo, casi tres años de vida igual, se había acostumbrado ya a que las cosas siguieran ese orden del que se suele decir que es el curso lógico de los acontecimientos."
289,"('delantero', 'declaró')","""Está claro que prefiero al Barcelona en la final, porque a dos partidos es más complicado ganarles"", declaró el delantero paraguayo Miguel Angel Benítez, quien espera que en las semifinales el Espanyol quede emparejado con ""el Atlético de Madrid o el Mérida, si pasa esta noche (para lo que tiene que eliminar al Real Madrid)""."
290,"('indicó', '')","El jugador paraguayo cree que el hecho de que las semifinales no se disputen hasta el mes de abril va a venir muy bien a su equipo, ""porque ahora estamos jugando muchos partidos seguidos y así llegaremos más descansados que nuestros posibles rivales, que por esas fechas estarán jugando competiciones europeas"", indicó."
292,"('capitán', 'aseguró')","""Si pasa el Mérida, el Mérida, y si no el Atlético de Madrid o el Real Madrid, porque si nos toca el Barcelona, pasar va a ser muy difícil"", aseguró el capitán del Espanyol."
294,"('Arteaga', 'advirtió')","""Ellos tienen unas plantillas más amplias y con más calidad que la nuestra"", advirtió Arteaga, mientras que su compañero Mauricio Pochettino, quien también prefiere al Barcelona en la final, coincidió con el centrocampista gaditano en que estos equipos ""tienen plantillas extensísimas para afrontar todas las competiciones""."
297,"('defensa', 'exclamó')","¿Un derbi y además en la final de la Copa del Rey? ¡Sería de puta madre! "", exclamó el defensa canterano."
299,"('gustaría', '')",A Tamudo le gustaría enfrentarse al Mérida si elimina al Real Madrid esta noche y prefiere al Barcelona o al Real Madrid en la final.
300,"('advirtió', '')","""Si nos tocan en"" semis ""tampoco pasa nada, porque a estas alturas cualquiera de ellos son buenos equipos y habrá que salir a por todas"", advirtió."
302,"('aseguró', '')","""Ya sólo quedan cuatro y el pasar se hace mucho más competitivo, así que da igual el que toque"", aseguró."
306,"('tuvo', '')",El árbitro chileno Mario Sánchez tuvo que dar por finalizado el partido anticipadamente al producirse serios incidentes en el estadio.
310,"('invasión', 'producía')","Segundos después, se producía la invasión al campo en protesta por lo que consideraban que era un ""robo"" del partido."
319,"('Clavasquin', 'consiguió')",El gol que acortaba distancias lo consiguió Clavasquin en el minuto 32 de fuerte disparo que dejó al meta peruano sin posibilidades de atajarlo.
328,"('Schumacher', 'dijo')","""Nos interesa mucho que nos visiten los alemanes, porque les gusta quedarse tres o cuatro semanas, mientras que los estadounidenses solamente están tres o cuatro días"", dijo Schumacher, que calculó que en 1999 hubo trescientos veinticinco mil visitantes alemanes en México."
330,"('Valenti', 'dijo')","""No esperábamos un movimiento tan flojo, pero eso hizo que nuestra gente se mueva y vaya a buscar clientes en otros pabellones"", dijo Valenti, que coordina el trabajo de Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua y Panamá, países con los que la Sociedad de Cooperación Técnica Alemana (GTZ) realizará un plan de promoción turística."
332,"('ninguno', 'afectó')","A la República Dominicana, en cambio, no le afectó ninguno de esos factores porque, según su responsable de Turismo, Petra Cruz, Asia no puede competir con sus playas y la cordialidad de la gente, en tanto que los precios son más baratos."
333,"('hubo', '')","Para Brasil, que ocupó 810 metros cuadrados de espacio y cada día llenó de música y alegría sus ambientes, este año hubo ""mayor calidad que cantidad"" que antes y su país ofreció destinos más acordes a la necesidad de paz y tranquilidad de los europeos, según Flavia Araujo, de la Oficina de Turismo del Brasil (Embratur)."
345,"('cedió', '')","También cedió al envite lanzado ayer por los actores de la enseñanza pública con protestas masivas en toda Francia, al anunciar el desbloqueo ""urgente"" de 152,45 millones de euros y un plan plurianual para la gestión de los medios de la Educación nacional."
348,"('canal', 'indicó')","Con la promesa de que el Estado gastará más y quitará menos, el jefe del Gobierno se apunta el mérito muy ""político"" de deshacer parcialmente lo que en su día hicieran los ex primer ministros neogaullistas Alain Juppé (quien en 1995 subió el IVA en un punto, que ahora baja Jospin) y Chirac, indicó el canal televisivo ""LCI""."
352,"('Alain', 'indicó')","Jospin devuelve el 10 por ciento del dinero que ha quitado a los franceses "", indicó Alain Madelin, líder de Democracia Liberal."
355,"('diario', 'afirma')","La acumulación de impaciencia ha hecho un favor al primer ministro al forzarle a entrar en un terreno que no es tradicionalmente el suyo: la rebaja de la presión fiscal "", afirma el diario izquierdista"" Liberation""."
358,"('señaló', '')","En este sentido, señaló que ""pese al empeño de la mujer por conseguir la igualdad de oportunidades en el empleo"", la tasa de desempleo femenina en España (un 22 por ciento) duplica a la masculina."
366,"('dijo', '')","""La contra reloj del último día también será bonita"", dijo."
369,"('mayor', 'finalizó')","""Voy bien, y tengo ganas de que llegue la Vuelta al País Vasco"", finalizó el mayor de los hermanos Osa."
377,"('promotor', 'informó')","La empresa Iber-X, que ha implantado en España una ""bolsa"" de telecomunicaciones a través de Internet, ha logrado tras cinco meses de funcionamiento un volumen de contratación mensual en torno a 78 millones de pesetas, informó hoy a Efe el promotor de este mercado, Jenaro García."
385,"('obtiene', '')","De esta forma y gracias a que las transacciones se realizan en un entorno ciego en el que sólo se hacen públicos los volúmenes ofertados y demandados y el precio límite, pero no las compañías ofertantes o demandantes, se obtiene un precio más bajo que en el mercado tradicional."
387,"('compañías', 'operan')","En la actualidad operan en esta bolsa de las telecomunicaciones 35 compañías del mercado español y seis brasileñas, aunque hay negociaciones establecidas con otras 15 españolas y 25 de Miami, que se cerrarán probablemente antes de mayo."
395,"('van', '')","""Pero, con qué mayoría van a gobernar - agregó el presidente del PNV en alusión a PP y PSE-EE -, si ni siquiera le pueden echar a Ibarretxe, con las ganas que tienen de que se vaya"" ."
397,"('Exhortó', '')","Exhortó a la militancia del PNV a que no se deje ""asustar"" por la ""carga mediática y política"" dirigida contra este partido, porque, según dijo, ""si les hacemos caso y nos vamos de Estella, luego vendrán por otra cosa"", ante lo cual, subrayó, ""cuanto más chillan, nosotros más quietos, y cuando dejen de hablar, veremos qué hacemos""."
399,"('Aseguró', '')","Aseguró que, desde el año 1989, el PNV ha sufrido 235 ataques contra sus batzokis, sin contar con otras formas de violencia contra este partido, por lo que, enfatizó, ""no andamos de amiguetes con EH"", sino que ""estamos pensando en Euskadi y en que esto (la violencia) hay que solucionarlo""."
400,"('Dijo', '')","Dijo que ETA ""se podía haber ahorrado"" el mensaje que envió ayer a las organizaciones juveniles Jarrai y Gasteriak, fusionadas en Haika."
401,"('destacó', '')","""Lo peor que podemos hacer a un menor de edad es darle un fusil o ponerle un cóctel en la mano"", destacó."
404,"('Manifestó', '')","Manifestó que ""la gran aportación del PNV en los últimos veinte años"" es la de haber ""generado un país moderno"", y que este partido se siente ""orgulloso"" de lo conseguido, por lo que ""no acepta lecciones"" ni de quienes ""han tardado 30 años en incorporarse"" a la construcción del País Vasco, ni de la ""nueva derecha, defensora del pensamiento único""."
406,"('muchos', 'respetan')",""" Pero las ideas del lehendakari no las respetan muchos en este país, y las ideas no se pueden condenar""."
418,"('Morel', 'dijo')","""La respuesta de Migración ha sido contundente: justo al día de hoy triplicaron el operativo de quitar la cédula a los ciudadanos de tez oscura"", dijo hoy Morel Cerda."
423,"('éxodo', 'producido')","Desde horas tempranas se ha producido un éxodo de ciudadanos hacia las distintas provincias, en las que les corresponde votar, según pudo observar EFE."
430,"('denuncias', 'abundan')","En la historia de las elecciones dominicanas abundan las denuncias de fraudes, intromisión de los militares en los comicios, compras de documentos de votación, uso de los fondos públicos en favor de los candidatos oficialistas y acciones violentas que arrojaron tristes saldos de muertos y heridos."
481,"('Quince', 'recordarán')","También recordarán los Quince que será necesario hacer una ""investigación efectiva e independiente de las violaciones de los derechos humanos"" cometidas en Chechenia y que Moscú coopere con el Consejo de Europa y la Organización para la Seguridad y la Cooperación en Europa (OSCE) para canalizar la ayuda humanitaria a esa república."
484,"('afirman', '')","También afirman que están dispuestos a ayudar a Rusia en sus esfuerzos por fortalecer las instituciones democráticas, el Estado de derecho y la economía de mercado, aunque recuerdan a Moscú la importancia de garantizar ""la independencia de los medios de comunicación""."
491,"('portavoz', 'aseguró')","""Mi impresión es que va a haber un desencuentro profundo (entre Aznar e Ibarretxe)"", aseguró el portavoz socialista, quien puso de manifiesto que la política vasca ""está colapsada y polarizada por dos posiciones políticas enfrentadas, que justamente corresponden a ambos Gobiernos, al vasco y al central""."
492,"('citó', '')","Entre los avances que el PSOE desearía que se produjeran entre los Ejecutivos central y vasco citó un acuerdo en cooperación policial y entendimientos sobre la articulación de la Ertzaintza y las Fuerzas de Seguridad del Estado, ya que - subrayó - la reciente reunión entre Mayor Oreja y el consejero vasco de Interior, Javier Balza, ""fue simple foto"" y no se produjeron acuerdos posteriores."
495,"('consejera', 'aseguró')","Así lo aseguró la consejera en conferencia de prensa al término de la reunión que durante más de dos horas mantuvo con el ministro, al que expuso las prioridades de la Junta de Andalucía en cuanto a infraestructuras de carreteras y ferroviarias, sobre las que también hubo coincidencia."
